timer                                            ms      calls
--------------------------------------------------------------
sequential initialization                     11456          1
  Looking for translation units                   0          1
  Computing links for translation units        7977          1
  xfer symbol cache                             500          1
  Computing virtual overrides                  1461          1
  computing RTA                                 978          1
  Computing callgraph                            97          1
  Topologically sorting functions                 0          1
  (left over)                                   443
Computing node costs                              2          1
Analysis run                                    864          1
  loadFromEmit                                   50          8
    VOLATILE_ATOMICITY_STAT                       0          2
    RELAX_NULL_RETURN                             1          2
    RELAX_ALLOC                                   0          2
    LOCK_FINDER                                   0          2
    LOCK_ORDER                                    7          2
    GUARDED_BY_VIOLATION_pass1                    1          4
    LOCK_INVERSION_pass1                          4          4
    OVERFLOW_BEFORE_WIDEN_pass1                   0          2
    BAD_CHECK_OF_WAIT_COND                        0          2
    BAD_LOCK_OBJECT_pass1                         0          2
    CALL_SUPER                                    0          2
    LOCK_EVASION                                  0          2
    NON_STATIC_GUARDING_STATIC                    0          2
    NULL_RETURNS_pass1                            0          2
    (left over)                                  37
  BAD_LOCK_OBJECT_LOCK_SOURCE_STAT                0          1
  CALL_SUPER_STAT                                 0          1
  CHECKED_RETURN_STAT                             0          1
  NON_STATIC_GUARDING_STATIC_STAT                 0          1
  VOLATILE_ATOMICITY_STAT                         0          1
  DUMMY_DERIVER_CONCURRENCY                       0          1
  DUMMY_DERIVER_STACK_USE                         0          1
  IFACE_TRACKER                                   0          2
  RELAX_ALLOC                                     0          1
  RELAX_BENIGN_CLOSURE                            0          1
  RELAX_CHECKED_RETURN                            0          1
  RELAX_CLOSE_RESOURCE                            0          1
  RELAX_DEREF_ARGS                                0          1
  RELAX_GETLOCK                                   0          1
  RELAX_ITERATOR_RETURNS                          0          1
  RELAX_ITERATOR_SINKS                            0          1
  RELAX_LOCKS                                     0          1
  RELAX_NOTHING                                   0          1
  RELAX_NULL_RETURN                               0          1
  RELAX_PARAM_NAMES                               0          1
  RELAX_WRITE                                     0          1
  LOCK_FINDER                                     0          1
  LOCK_ORDER                                      0          1
  BAD_CHECK_OF_WAIT_COND                          0          1
  CALL_SUPER                                      0          1
  CONSTANT_EXPRESSION_RESULT                      0          1
  COPY_PASTE_ERROR                                0          1
  IDENTICAL_BRANCHES                              0          1
  INVALIDATE_ITERATOR                             0          1
  LOCK_EVASION                                    0          1
  MISSING_BREAK                                   0          1
  NESTING_INDENT_MISMATCH                         0          1
  NON_STATIC_GUARDING_STATIC                      0          1
  REVERSE_INULL                                   0          1
  STRAY_SEMICOLON                                 0          1
  SWAPPED_ARGUMENTS                               0          1
  UNINTENDED_INTEGER_DIVISION                     0          1
  UNREACHABLE                                     0          1

activity                                         ms      calls
--------------------------------------------------------------
RELAX_GETLOCK                                     0          1
RELAX_LOCKS                                       0          1
DUMMY_DERIVER_CONCURRENCY                         0          1
IFACE_TRACKER                                     0          2
LOCK_FINDER                                       0          3
LOCK_ORDER                                        7          3
BAD_CHECK_OF_WAIT_COND                            0          3
BAD_LOCK_OBJECT_pass1                             0          2
CALL_SUPER                                        0          3
CONSTANT_EXPRESSION_RESULT                        0          1
COPY_PASTE_ERROR                                  0          1
GUARDED_BY_VIOLATION_pass1                        1          4
IDENTICAL_BRANCHES                                0          1
INVALIDATE_ITERATOR                               0          1
LOCK_EVASION                                      0          3
LOCK_INVERSION_pass1                              4          4
MISSING_BREAK                                     0          1
NESTING_INDENT_MISMATCH                           0          1
NON_STATIC_GUARDING_STATIC                        0          3
NULL_RETURNS_pass1                                0          2
OVERFLOW_BEFORE_WIDEN_pass1                       0          2
REVERSE_INULL                                     0          1
STRAY_SEMICOLON                                   0          1
SWAPPED_ARGUMENTS                                 0          1
UNINTENDED_INTEGER_DIVISION                       0          1
UNREACHABLE                                       0          1
RELAX_ALLOC                                       0          3
RELAX_CLOSE_RESOURCE                              0          1
RELAX_CHECKED_RETURN                              0          1
RELAX_DEREF_ARGS                                  0          1
RELAX_NULL_RETURN                                 1          3
RELAX_WRITE                                       0          1
RELAX_ITERATOR_RETURNS                            0          1
RELAX_ITERATOR_SINKS                              0          1
RELAX_NOTHING                                     0          1
RELAX_PARAM_NAMES                                 0          1
RELAX_BENIGN_CLOSURE                              0          1
DUMMY_DERIVER_STACK_USE                           0          1
CHECKED_RETURN_STAT                               0          1
CALL_SUPER_STAT                                   0          1
BAD_LOCK_OBJECT_LOCK_SOURCE_STAT                  0          1
NON_STATIC_GUARDING_STATIC_STAT                   0          1
VOLATILE_ATOMICITY_STAT                           0          3
sequential initialization                     11456          1
Looking for translation units                     0          1
Computing links for translation units          7977          1
xfer symbol cache                               500          1
Computing virtual overrides                    1461          1
computing RTA                                   978          1
Computing callgraph                              97          1
Topologically sorting functions                   0          1
Computing node costs                              2          1
Analysis run                                    864          1
loadFromEmit                                     50          8
